index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,genre_id,country_id
216,Dead Set,2008,7.6,19684,141,1,2.0,1.0
217,Grey's Anatomy,2005,7.6,293618,49,18,3.0,2.0
218,Goosebumps,1995,7.6,13361,22,4,2.0,14.0
219,Love 101,2020,7.5,13797,46,2,4.0,6.0
220,Shooter,2016,7.5,35547,41,3,9.0,2.0
221,Reign,2013,7.5,47751,42,4,3.0,2.0
222,Blue Exorcist,2011,7.5,12741,24,2,2.0,9.0
223,Outer Banks,2020,7.5,43404,49,2,6.0,2.0
224,Arrow,2012,7.5,425716,42,8,6.0,2.0
225,Halston,2021,7.5,14040,47,1,3.0,2.0
226,The Night Shift,2014,7.5,12069,42,4,3.0,2.0
227,The Heirs,2013,7.5,10329,59,1,3.0,13.0
228,The Politician,2019,7.5,21887,43,2,4.0,2.0
229,Ragnarok,2020,7.5,36185,47,2,6.0,16.0
230,Everything Sucks!,2018,7.5,18023,24,1,3.0,2.0
231,Frequency,2016,7.5,13625,18,3,2.0,2.0
232,Dark Matter,2015,7.5,41867,43,3,2.0,14.0
233,Night Stalker: The Hunt for a Serial Killer,2021,7.5,23939,47,1,7.0,2.0
234,Dash & Lily,2020,7.5,16978,25,1,4.0,2.0
235,True Story,2021,7.5,16927,39,1,3.0,2.0
236,Hollywood,2020,7.5,35067,50,1,3.0,2.0
237,Designated Survivor,2016,7.5,88019,44,3,9.0,2.0
238,Quicksand,2019,7.5,21077,46,1,3.0,
239,Feel Good,2020,7.5,10317,25,2,3.0,1.0
240,Dogs of Berlin,2018,7.5,12453,60,1,3.0,12.0
241,Evil Genius,2018,7.5,27516,48,1,7.0,2.0
242,13 Reasons Why,2017,7.5,282373,58,4,3.0,2.0
243,Lupin,2021,7.5,100575,46,3,7.0,19.0
244,All of Us Are Dead,2022,7.5,41393,61,1,6.0,13.0
245,I Am Not Okay with This,2020,7.5,56459,21,1,4.0,2.0
